experiment_id,batch_id,task_type,trial_id,stage_id,mission_id,uav_id,dispatch_time,arrival_time,completion_time,arrival_time_error,final_position_error
experiments_10,exp10-formal-20260731,task_b_sequential,1,2,2,1,49.37440787000014,49.37410427500072,-0.0003035949994227849,2.354116439819336,0.39012977480888367
experiments_10,exp10-formal-20260731,task_b_sequential,1,2,2,2,49.37472563200026,49.37450604300102,-0.00021958899924356956,0.7486353516578674,0.36552953720092773
experiments_10,exp10-formal-20260731,task_b_sequential,1,2,2,3,49.37497930400059,49.3747898620004,-0.00018944200019177515,0.010365431196987629,0.37331438064575195
experiments_10,exp10-formal-20260731,task_b_sequential,1,2,2,4,49.37522992100094,49.375037863001126,-0.00019205799981136806,0.7115572094917297,0.3730158507823944
experiments_10,exp10-formal-20260731,task_b_sequential,1,2,2,5,49.37545934800073,49.375286577000224,-0.00017277100050705485,0.5134826302528381,0.3929281234741211
experiments_10,exp10-formal-20260731,task_b_sequential,1,2,2,6,49.37581670399959,49.375519700999575,-0.00029700300001422875,0.010760226286947727,0.37540194392204285
experiments_10,exp10-formal-20260731,task_b_sequential,1,2,2,7,49.37609750699994,49.37589875699996,-0.00019874999998137355,0.7501927614212036,0.377219557762146
experiments_10,exp10-formal-20260731,task_b_sequential,1,2,2,8,49.37641801400059,49.3761719360009,-0.00024607799969089683,0.9838334918022156,0.368750661611557
experiments_10,exp10-formal-20260731,task_b_sequential,3,1,1,1,12.810992040000201,25.302487353999823,12.491495313999621,2.4926464557647705,0.357700914144516
experiments_10,exp10-formal-20260731,task_b_sequential,3,1,1,2,12.81119738400048,23.36514923499999,10.55395185099951,0.5555576682090759,0.3617367148399353
experiments_10,exp10-formal-20260731,task_b_sequential,3,1,1,3,12.811329611000474,22.827965254000446,10.016635642999972,0.01820715144276619,0.36965954303741455
experiments_10,exp10-formal-20260731,task_b_sequential,3,1,1,4,12.811457580999559,22.819120939999266,10.007663358999707,0.008975893259048462,0.3484698235988617
experiments_10,exp10-formal-20260731,task_b_sequential,3,1,1,5,12.811588795999342,22.81923916100095,10.00765036500161,0.009029854089021683,0.3790391981601715
experiments_10,exp10-formal-20260731,task_b_sequential,3,1,1,6,12.811709671999779,22.826938184000028,10.015228512000249,0.01645086705684662,0.38001301884651184
experiments_10,exp10-formal-20260731,task_b_sequential,3,1,1,7,12.811836228000175,23.144346252000105,10.33251002399993,0.33425992727279663,0.3722960352897644
