trial_id,scenario,method,repeat,uav_id,elapsed_time_s,reference_x,reference_y,reference_z,actual_x,actual_y,actual_z,tracking_error_m,actual_speed_mps,actual_acceleration_mps2
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,20.60049819946289,10.0,19.5,5.0,9.971667289733887,19.502359867095947,4.977349758148193,0.0363503098487854,0.6324883598668737,0.9204256905828397
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,20.70049476623535,10.0,19.5,5.0,9.973106384277344,19.50035047531128,4.996943473815918,0.02706901915371418,0.10778944732810926,7.076025762410987
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,20.800506591796875,10.0,19.5,5.0,9.991106986999512,19.498586654663086,5.042125225067139,0.043076884001493454,0.19739786069244286,1.5440961762966876
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,20.90048599243164,10.0,19.5,5.0,10.010909080505371,19.49734878540039,5.028481483459473,0.03061424382030964,0.6982567277057773,6.099542217328123
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,21.000490188598633,10.0,19.5,5.0,10.02850341796875,19.49643564224243,4.977901935577393,0.03624188154935837,0.6267805722609147,0.8594958297284772
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,21.100509643554688,10.0,19.5,5.0,10.026935577392578,19.49648904800415,4.998898029327393,0.027185777202248573,0.09115108533747797,7.0036425389993004
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,21.20050048828125,10.0,19.5,5.0,10.00869369506836,19.498160362243652,5.043369293212891,0.04427030682563782,0.1916466524095513,1.7474179910107877
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,21.300504684448242,10.0,19.5,5.0,9.988627433776855,19.49996519088745,5.028372764587402,0.030567143112421036,0.7114309766119741,6.061792058064937
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,21.400508880615234,10.0,19.5,5.0,9.97050666809082,19.501637935638428,4.978193759918213,0.03671582043170929,0.6033882705292438,1.149514579405524
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,21.50049591064453,10.0,19.5,5.0,9.97166919708252,19.5017671585083,5.00150728225708,0.028425853699445724,0.11796026848998957,7.030835510422146
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,21.600500106811523,10.0,19.5,5.0,9.990240097045898,19.500776290893555,5.0467023849487305,0.0477176196873188,0.21102183113911369,2.052861192476395
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,21.70050811767578,10.0,19.5,5.0,10.010396957397461,19.499614238739014,5.029463291168213,0.03124629706144333,0.7410968667745693,6.172916075988328
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,21.800508499145508,10.0,19.5,5.0,10.028695106506348,19.49830722808838,4.9776105880737305,0.036435700953006744,0.6149312122025393,1.3026295717276783
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,21.900537490844727,10.0,19.5,5.0,10.02817440032959,19.49768829345703,5.001376628875732,0.028302578255534172,0.09601952441660576,6.964330425283104
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,22.00050926208496,10.0,19.5,5.0,10.010645866394043,19.498226642608643,5.046526908874512,0.047762248665094376,0.20300631401270142,2.0053154860985782
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,22.100515365600586,10.0,19.5,5.0,9.991164207458496,19.498981952667236,5.029616355895996,0.030923068523406982,0.7422721774664575,6.136485241021168
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,22.20051383972168,10.0,19.5,5.0,9.97344970703125,19.499972820281982,4.978263854980469,0.03431295230984688,0.6138347485772975,1.3203581624828546
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,22.30052375793457,10.0,19.5,5.0,9.974502563476562,19.500954151153564,5.0033650398254395,0.02573622204363346,0.10654330882055357,7.072473299609921
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,22.4005126953125,10.0,19.5,5.0,9.992036819458008,19.501646995544434,5.049234390258789,0.04990140348672867,0.20125815353564896,2.1190287983997362
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,22.500516891479492,10.0,19.5,5.0,10.011049270629883,19.502079010009766,5.031183242797852,0.033148203045129776,0.7557445502844705,6.252344799033821
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,22.600521087646484,10.0,19.5,5.0,10.027904510498047,19.501963138580322,4.978302955627441,0.03540165722370148,0.6217218905760395,1.3719447837458858
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,22.70049476623535,10.0,19.5,5.0,10.025904655456543,19.500643730163574,5.002142429351807,0.026001067832112312,0.1016704595439777,7.064312611284061
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,22.80051612854004,10.0,19.5,5.0,10.007691383361816,19.499022960662842,5.047792434692383,0.048417236655950546,0.20079879543835732,1.9788195542955347
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,22.9005184173584,10.0,19.5,5.0,9.987980842590332,19.497551441192627,5.0305705070495605,0.03293951228260994,0.7465209357903408,6.210413940697014
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,23.000534057617188,10.0,19.5,5.0,9.970335006713867,19.495924472808838,4.978072166442871,0.037114035338163376,0.6224258999443837,1.3009554642801087
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,23.10052490234375,10.0,19.5,5.0,9.972052574157715,19.49452257156372,5.001143932342529,0.028502095490694046,0.1046541872927978,7.003791031044443
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,23.200525283813477,10.0,19.5,5.0,9.990866661071777,19.495121479034424,5.045184135437012,0.04635540768504143,0.22029916050302512,2.019523915300789
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,23.300525665283203,10.0,19.5,5.0,10.011244773864746,19.496397972106934,5.026957988739014,0.02943047322332859,0.7448236975940725,6.027575785530749
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,23.400531768798828,10.0,19.5,5.0,10.028882026672363,19.497865676879883,4.976642608642578,0.03720610961318016,0.59158451401743,1.5685987422143768
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,23.500530242919922,10.0,19.5,5.0,10.025580406188965,19.49832773208618,5.004062175750732,0.02595486305654049,0.1251179846239165,7.008279357176085
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,23.60052490234375,10.0,19.5,5.0,10.005831718444824,19.498976230621338,5.049955368041992,0.05030502751469612,0.21752454271142393,2.391834152922487
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,23.700529098510742,10.0,19.5,5.0,9.98514175415039,19.49956226348877,5.030177593231201,0.033639948815107346,0.7738659025928823,6.252138123316999
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,23.800548553466797,10.0,19.5,5.0,9.967042922973633,19.499422073364258,4.978144645690918,0.03954945504665375,0.6017780852302802,1.7666376595944158
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,23.900558471679688,10.0,19.5,5.0,9.96975040435791,19.497467041015625,5.005266189575195,0.03080887347459793,0.12715186234499293,6.956991658598539
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,24.00053596496582,10.0,19.5,5.0,9.99030590057373,19.495850563049316,5.050362586975098,0.05145467445254326,0.2482905787138415,2.32893272957283
eight_uav_line_to_circle__minimum_jerk_ladrc__r03,eight_uav_line_to_circle,minimum_jerk_ladrc,3,8,24.10053253173828,10.0,19.5,5.0,10.01209545135498,19.494872570037842,5.030266284942627,0.03299452364444733,0.7882521386821282,6.182135589788158
