trial_id,method,motion_style,repeat,elapsed_time_s,reference_x,reference_y,reference_z,actual_x,actual_y,actual_z,speed_mps,acceleration_mps2,jerk_mps3,roll_deg,pitch_deg,tracking_error_m
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.22,5.337715581236922,2.9946843606350257,4.383856561717682,3.813539476775754,3.081344561710234,3.0089424038744257,3.771676166342007,4.7463714515363415,20.88565908366223,8.604931178810904,29.464193464567078,2.0545100947181174
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.24,5.379882017205382,2.995022797657798,4.423085285966157,3.865553993755331,3.06817810759177,3.0503522720966703,3.770221035392388,4.348169280181811,24.61413981587273,8.494726448074157,27.34951674160695,2.045222968124717
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.2600000000000002,5.420607285850264,2.99534966755693,4.460973248202523,3.933014797957462,3.0496652579897585,3.103275352933737,3.773603043321591,3.8118586880196537,30.51436845606978,8.362902750919984,23.852539440530983,2.0147518875078525
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.2800000000000002,5.459878522670775,2.99566486707913,4.497508480188472,3.985129457261058,3.034206677596191,3.143528969471649,3.7817922026920763,3.317428640567722,34.781182107110865,8.249092436721142,20.649993479090863,2.0024062506209206
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.3000000000000003,5.497684950043548,2.9959683097208383,4.532680955171557,4.053021249694283,3.0129383819798568,3.1953985701101795,3.7963021364211365,2.6692719040534167,39.13182252284484,8.089177062631741,16.1085055465511,1.9686709648528762
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.32,5.534017932140408,2.996259926169013,4.566482638976861,4.105436927665146,2.995719173028999,3.235258830014304,3.8155942024748324,2.165577185988898,41.20987395497262,7.945956335692058,12.380281797421935,1.952690658632413
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.34,5.568871029846239,2.9965396647419094,4.598907541098773,4.1734772226153085,2.9727391175369675,3.286965713831773,3.838562998884461,1.719444286075435,42.61089362658751,7.715182266797769,7.395226796122391,1.9154325102802139
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.36,5.60224005567679,2.996807491829865,4.629951765792699,4.226182653078751,2.9546586958758976,3.327279889416664,3.861942177831906,1.5814651982320307,43.463045767130225,7.528345815217064,3.441154951959202,1.8953270202649175
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.38,5.634123128696528,2.9970633923360803,4.659613563166819,4.294540140018301,2.9312664993221764,3.3801707916031094,3.882711962624499,1.7040053900054966,44.30797992779385,7.225026010952972,-1.751120373873682,1.8535872303166634
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.4,5.6645207294364335,2.9973073701174022,4.687893380273794,4.347656957754497,2.913509365214966,3.4216401672645955,3.898397651896058,2.06243603824527,45.16809113296002,6.996005039149562,-5.834560232926561,1.8288109520259668
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.42,5.693435754811813,2.9975394484251052,4.714793912202478,4.416225149939914,2.8914355417721618,3.475577000780072,3.9059577834731045,2.7424129500360426,44.193992005847946,6.6834835357041875,-11.144508703947857,1.7827460620513365
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.44,5.720873573040201,2.9977596703456753,4.7403201531697325,4.469477439273433,2.876181498918815,3.517882051019863,3.905063869685277,3.4043336841292064,42.244754947790945,6.4202626919343,-15.207808678930594,1.7536044163270372
task_conditioned__aggressive__r02,task_conditioned,aggressive,2,2.46,5.74684207855909,2.9979680992415925,4.764479447612058,4.54007108434223,2.8656733266819225,3.5757267776413517,3.894802199841338,4.146914162409047,37.68770642392298,6.147777021578406,-20.24547790973116,1.6990971277982452
