batch_id,task_type,attempt_id,trial_id,stage_count,execution_success,all_stages_valid,main_analysis_eligible,failure_reason,mission_wall_time,planning_time,dispatch_time,stage_wall_time,reference_execution_time,stabilization_delay,stable_hold_time,trajectory_finish_spread,stable_arrival_spread
exp10-paper-v1-20260804,task_d_dense,attempt_0028,6,1,True,True,True,,12.001406481998856,0.0333699639995757,0.0005478829989442602,12.001406481998856,10.100703350999538,1.8671031329977268,1.0025838757501333,0.015262548000464449,0.9612363429987454
exp10-paper-v1-20260804,task_a_simple,attempt_0029,6,1,True,True,True,,11.650359029001265,0.09408583500044188,0.0007605950013385154,11.650359029001265,10.09671644500122,1.4592929919999733,1.0025581529998817,0.01472373100114055,0.5535932950006099
exp10-paper-v1-20260804,task_e_mixed,attempt_0030,6,3,True,True,True,,36.20204339900374,0.06809058799990453,0.001913230003992794,36.20204339900374,30.281919380002364,5.851348498996231,3.0052781406238864,0.08770494800046436,0.8023927379981615
exp10-paper-v1-20260804,task_d_dense,attempt_0031,7,1,True,True,True,,12.017759065001883,0.034869353999965824,0.000522075999469962,12.017759065001883,10.099889762997918,1.8827561069992953,1.0002568833738223,0.0179837329997099,0.970833852999931
exp10-paper-v1-20260804,task_a_simple,attempt_0032,7,1,True,True,True,,11.709164359999704,0.10001585999998497,0.0007917340008134488,11.709164359999704,10.100579661000666,1.5082630819997576,1.002594801250325,0.018657094002264785,0.5906224259997543
exp10-paper-v1-20260804,task_c_grouped,attempt_0033,7,1,True,True,True,,11.858669312001439,0.015986562000762206,0.0006122380000306293,11.858669312001439,10.09562471100071,1.7468177330010803,1.0198610013744656,0.016074028997536516,0.8212012209987734
exp10-paper-v1-20260804,task_e_mixed,attempt_0034,7,3,True,True,True,,35.82897875400158,0.06689194600039627,0.0017796780011849478,35.82897875400158,30.287455097004568,5.473893029000465,3.059729324376349,0.01920358700226643,0.7223200750013348
exp10-paper-v1-20260804,task_b_sequential,attempt_0035,7,2,True,True,True,,22.71836782900209,0.09770660100184614,0.0011741240014089271,22.71836782900209,18.1930414870003,4.427138738999929,2.0400643057505476,0.01727226200091536,1.2926103720019455
exp10-paper-v1-20260804,task_c_grouped,attempt_0036,8,1,True,True,True,,11.834845518002112,0.016262577002635226,0.000596660996961873,11.834845518002112,10.100948813000286,1.7173898859982728,1.0197034901252664,0.019367576998774894,0.7819894669992209
exp10-paper-v1-20260804,task_e_mixed,attempt_0037,8,3,True,True,True,,36.48008642300192,0.06571532300222316,0.0019077670003753155,36.48008642300192,30.294306589999906,6.119409631002782,3.0600372067501667,0.018608875998324947,0.7623648810003942
exp10-paper-v1-20260804,task_d_dense,attempt_0038,8,1,True,True,True,,12.515149143997405,0.06606016499790712,0.0006717590003972873,12.515149143997405,10.091941598999256,2.3568734750006115,1.0200900808758888,0.01126815299721784,1.4275327289979032
exp10-paper-v1-20260804,task_b_sequential,attempt_0039,8,2,True,True,True,,22.64609687600023,0.10051047200249741,0.001157282997155562,22.64609687600023,18.196936362004635,4.3481726109966985,2.040103222749167,0.017789673001971096,1.2657044059997133
exp10-paper-v1-20260804,task_a_simple,attempt_0040,8,1,True,True,True,,11.817966462000186,0.12937618399882922,0.0008549410013074521,11.817966462000186,10.093744473000697,1.594525831998908,1.020192689124542,0.010811691001435975,0.6652451189984276
exp10-paper-v1-20260804,task_b_sequential,attempt_0041,9,2,True,True,True,,22.80464100899917,0.09663090300091426,0.0012585039985424373,22.80464100899917,18.193138283000735,4.514433835000091,2.0400120116237304,0.015858971000852762,1.381538472000102
exp10-paper-v1-20260804,task_c_grouped,attempt_0042,9,1,True,True,True,,11.820722693999414,0.017023173000779934,0.0005119249981362373,11.820722693999414,10.099770986002113,1.703693128998566,1.0200395237498014,0.019277110000984976,0.7807314620004036
exp10-paper-v1-20260804,task_d_dense,attempt_0043,9,1,True,True,True,,11.977006367000286,0.06310041599863325,0.0005448570009320974,11.977006367000286,10.098852603001433,1.8148240829978022,1.0199828911254372,0.016565620000619674,0.8813380969986611
exp10-paper-v1-20260804,task_e_mixed,attempt_0044,9,3,True,True,True,,36.453140504996554,0.06528818599690567,0.0017385890023433603,36.453140504996554,30.284754299005726,6.102475578998565,3.060419179625569,0.009264522002922604,0.7781463690007513
exp10-paper-v1-20260804,task_a_simple,attempt_0045,9,1,True,True,True,,11.720710261997738,0.06505418999950052,0.0005030169995734468,11.720710261997738,10.097918308998487,1.5574952610004402,1.0201151486257913,0.013058759999694303,0.630515982000361
exp10-paper-v1-20260804,task_c_grouped,attempt_0046,10,1,True,True,True,,11.876478525999119,0.016104217997053638,0.0005463779998535756,11.876478525999119,10.100089797000692,1.7600394930013863,1.020231353249983,0.018307579000975238,0.8369190980010899
exp10-paper-v1-20260804,task_d_dense,attempt_0047,10,1,True,True,True,,12.28232235500036,0.06430295099926298,0.0007408940000459552,12.28232235500036,10.098921532000531,2.1188348709983984,1.0201591043742155,0.018077900000207592,1.1950179339983151
exp10-paper-v1-20260804,task_b_sequential,attempt_0048,10,2,True,True,True,,22.809956195000268,0.06716013500044937,0.0013837740007147659,22.809956195000268,18.192405878999125,4.549935330000153,2.037873134999245,0.012415998000506079,1.4001574819994858
exp10-paper-v1-20260804,task_a_simple,attempt_0049,10,1,True,True,True,,11.775435880001169,0.12781391300086398,0.0005232590010564309,11.775435880001169,10.09032528300304,1.557043018998229,1.019927989250391,0.009872186001302907,0.6221247979992768
exp10-paper-v1-20260804,task_e_mixed,attempt_0050,10,3,True,True,True,,36.18621648899716,0.06426380899938522,0.0016574039982515387,36.18621648899716,30.282715006000217,5.838637501998164,3.0578293776247847,0.01113775400153827,0.7828133749972039
