family,endpoint,contrast,complete_blocks_N,scenario_stratum_counts,mean_block_contrast,median_block_contrast,sd_block_contrast,d_z,ci_low,ci_high,bootstrap_resamples,bootstrap_seed_uint64,availability_note
C,hard_risk_event_count,Delta_PF,25,E3-C-01:12;E3-C-02:13,0.92000000000000004,0,2.4986663109213549,0.3681964238196978,0.080000000000000002,1.8,10000,10890306909387682217,
C,predicted_min_separation_m,Delta_P,25,E3-C-01:12;E3-C-02:13,1.5725177000725423,1.5725177000725421,2.2662332591841974e-16,6938904870889681,1.5725177000725421,1.5725177000725421,10000,2437399295215418977,
C,predicted_min_separation_m,Delta_F,25,E3-C-01:12;E3-C-02:13,0,0,0,,0,0,10000,1759266189106300321,
C,predicted_min_separation_m,Delta_PF,25,E3-C-01:12;E3-C-02:13,0,0,0,,0,0,10000,2669157195861469602,
C,predicted_hard_conflict_count,Delta_P,25,E3-C-01:12;E3-C-02:13,-2,-2,0,,-2,-2,10000,10365800681359004809,
C,predicted_hard_conflict_count,Delta_F,25,E3-C-01:12;E3-C-02:13,0,0,0,,0,0,10000,2075424155632492386,
C,predicted_hard_conflict_count,Delta_PF,25,E3-C-01:12;E3-C-02:13,0,0,0,,0,0,10000,7995227678148022177,
C,controller_near_limit_fraction,Delta_P,25,E3-C-01:12;E3-C-02:13,-0.0008650000000000001,-0.00041666666666666669,0.0022674391683007605,-0.3814876324325997,-0.0018191666666666664,-0.00029999999999999997,10000,17829385848718436741,
C,controller_near_limit_fraction,Delta_F,25,E3-C-01:12;E3-C-02:13,-0.00037999999999999997,0,0.0023852747410471982,-0.1593107885899844,-0.001360833333333333,0.00019916666666666661,10000,136033776390824331,
C,controller_near_limit_fraction,Delta_PF,25,E3-C-01:12;E3-C-02:13,0.00075999999999999993,0,0.0047705494820943963,0.1593107885899844,-0.00041166666666666663,0.0027349999999999996,10000,2003871171062329740,
C,feedback_intervention_burden,Delta_P,0,,,,,,,,0,,NA — preregistered endpoint unavailable; N=0/343; proxy used = no
C,feedback_intervention_burden,Delta_F,0,,,,,,,,0,,NA — preregistered endpoint unavailable; N=0/343; proxy used = no
C,feedback_intervention_burden,Delta_PF,0,,,,,,,,0,,NA — preregistered endpoint unavailable; N=0/343; proxy used = no
