formation,uav_count,label,nominal_spacing,multiplier,delta_min,requested_radius,requested_nearest_neighbor_spacing,executed_radius,executed_nearest_neighbor_spacing,safety_floor_applied,workspace_limit,workspace_margin,geometry_valid,failure_reason
Polygon,4,normal,2.25,1.0,1.414213562373095,1.5909902576697321,2.25,1.5909902576697321,2.25,False,15.0,4.5,True,
Polygon,4,spacious,2.25,1.25,1.414213562373095,1.988737822087165,2.8125,1.9887378220871652,2.8125,False,15.0,4.5,True,
Polygon,5,compact,2.25,0.8,0.7999999999999999,2.2500000000000004,1.8,2.5,1.9999999999999998,True,15.0,4.5,True,
Polygon,5,normal,2.25,1.0,0.7999999999999999,2.8125000000000004,2.25,2.8125000000000004,2.25,False,15.0,4.5,True,
Polygon,5,spacious,2.25,1.25,0.7999999999999999,3.5156250000000004,2.8125,3.5156250000000004,2.8125,False,15.0,4.5,True,
Polygon,5,compact,2.25,0.8,1.1755705045849463,1.531171455033672,1.8,1.7013016167040798,2.0,True,15.0,4.5,True,
Polygon,5,normal,2.25,1.0,1.1755705045849463,1.9139643187920898,2.25,1.9139643187920898,2.25,False,15.0,4.5,True,
Polygon,5,spacious,2.25,1.25,1.1755705045849463,2.3924553984901125,2.8125,2.3924553984901125,2.8125,False,15.0,4.5,True,
Polygon,6,compact,2.25,0.8,0.6666666666666667,2.6999999999999997,1.8,2.9999999999999996,2.0,True,15.0,4.5,True,
Polygon,6,normal,2.25,1.0,0.6666666666666667,3.3749999999999996,2.25,3.3749999999999996,2.25,False,15.0,4.5,True,
Polygon,6,spacious,2.25,1.25,0.6666666666666667,4.218749999999999,2.8125,4.218749999999999,2.8124999999999996,False,15.0,4.5,True,
Polygon,6,compact,2.25,0.8,0.8008705323262908,2.2475542891702296,1.8,2.4972825435224775,2.0,True,15.0,4.5,True,
Polygon,6,normal,2.25,1.0,0.8008705323262908,2.809442861462787,2.25,2.809442861462787,2.25,False,15.0,4.5,True,
Polygon,6,spacious,2.25,1.25,0.8008705323262908,3.511803576828484,2.8125,3.511803576828484,2.8125,False,15.0,4.5,True,
Polygon,6,compact,2.25,0.8,0.9999999999999997,1.8000000000000007,1.8,2.000000000000001,2.0,True,15.0,4.5,True,
Polygon,6,normal,2.25,1.0,0.9999999999999997,2.250000000000001,2.25,2.250000000000001,2.25,False,15.0,4.5,True,
Polygon,6,spacious,2.25,1.25,0.9999999999999997,2.812500000000001,2.8125,2.812500000000001,2.8125,False,15.0,4.5,True,
Polygon,7,compact,2.25,0.8,0.5714285714285714,3.1500000000000004,1.8,3.5,2.0,True,15.0,4.5,True,
Polygon,7,normal,2.25,1.0,0.5714285714285714,3.9375,2.25,3.9375,2.25,False,15.0,4.5,True,
Polygon,7,spacious,2.25,1.25,0.5714285714285714,4.921875,2.8125,4.921875,2.8125,False,15.0,4.5,True,
Polygon,7,compact,2.25,0.8,0.6864604562796776,2.6221466706986023,1.8,2.9134963007762247,1.9999999999999998,True,15.0,4.5,True,
Polygon,7,normal,2.25,1.0,0.6864604562796776,3.277683338373253,2.25,3.277683338373253,2.25,False,15.0,4.5,True,
Polygon,7,spacious,2.25,1.25,0.6864604562796776,4.097104172966566,2.8125,4.097104172966566,2.8125,False,15.0,4.5,True,
Polygon,7,compact,2.25,0.8,0.7423074889580898,2.4248711305964297,1.8,2.694301256218255,1.9999999999999998,True,15.0,4.5,True,
Polygon,7,normal,2.25,1.0,0.7423074889580898,3.031088913245537,2.25,3.031088913245537,2.25,False,15.0,4.5,True,
Polygon,7,spacious,2.25,1.25,0.7423074889580898,3.788861141556921,2.8125,3.788861141556921,2.8125,False,15.0,4.5,True,
Polygon,7,compact,2.25,0.8,0.8677674782351162,2.074288383866238,1.8,2.3047648709624866,2.0,True,15.0,4.5,True,
Polygon,7,normal,2.25,1.0,0.8677674782351162,2.5928604798327974,2.25,2.5928604798327974,2.25,False,15.0,4.5,True,
Polygon,7,spacious,2.25,1.25,0.8677674782351162,3.241075599790997,2.8125,3.241075599790997,2.8125,False,15.0,4.5,True,
Polygon,8,compact,2.25,0.8,0.7071067811865475,2.5455844122715714,1.8,2.8284271247461903,2.0,True,15.0,4.5,True,
Polygon,8,normal,2.25,1.0,0.7071067811865475,3.1819805153394642,2.25,3.1819805153394642,2.25,False,15.0,4.5,True,
Polygon,8,spacious,2.25,1.25,0.7071067811865475,3.97747564417433,2.8125,3.9774756441743304,2.8125,False,15.0,4.5,True,
Polygon,8,compact,2.25,0.8,0.6006528992447181,2.9967390522269732,1.8,3.32971005802997,2.0,True,15.0,4.5,True,
Polygon,8,normal,2.25,1.0,0.6006528992447181,3.7459238152837164,2.25,3.7459238152837164,2.25,False,15.0,4.5,True,
Polygon,8,spacious,2.25,1.25,0.6006528992447181,4.682404769104645,2.8125,4.682404769104646,2.8125000000000004,False,15.0,4.5,True,
Polygon,8,compact,2.25,0.8,0.6614378277661477,2.721344205666436,1.8,3.0237157840738176,2.0,True,15.0,4.5,True,
Polygon,8,normal,2.25,1.0,0.6614378277661477,3.401680257083045,2.25,3.401680257083045,2.25,False,15.0,4.5,True,
Polygon,8,spacious,2.25,1.25,0.6614378277661477,4.252100321353806,2.8125,4.252100321353806,2.8125,False,15.0,4.5,True,
Polygon,8,compact,2.25,0.8,0.6857195446576774,2.624979868261725,1.8,2.9166442980685834,2.0,True,15.0,4.5,True,
Polygon,8,normal,2.25,1.0,0.6857195446576774,3.2812248353271563,2.25,3.2812248353271563,2.25,False,15.0,4.5,True,
Polygon,8,spacious,2.25,1.25,0.6857195446576774,4.101531044158945,2.8125,4.101531044158945,2.8125,False,15.0,4.5,True,
Polygon,8,compact,2.25,0.8,0.7653668647301795,2.3518133367774783,1.8,2.613125929752753,1.9999999999999998,True,15.0,4.5,True,
Polygon,8,normal,2.25,1.0,0.7653668647301795,2.9397666709718475,2.25,2.9397666709718475,2.25,False,15.0,4.5,True,
Polygon,8,spacious,2.25,1.25,0.7653668647301795,3.6747083387148094,2.8125,3.6747083387148094,2.8125,False,15.0,4.5,True,
Sphere,2,compact,2.25,0.8,2.0,0.9,1.8,1.0,2.0,True,20.0,4.5,True,
Sphere,2,normal,2.25,1.0,2.0,1.125,2.25,1.125,2.25,False,20.0,4.5,True,
Sphere,2,spacious,2.25,1.25,2.0,1.40625,2.8125,1.40625,2.8125,False,20.0,4.5,True,
Sphere,3,compact,2.25,0.8,1.4142135623730951,1.2727922061357855,1.8,1.414213562373095,2.0,True,14.80406170888428,4.5,True,
Sphere,3,normal,2.25,1.0,1.4142135623730951,1.590990257669732,2.25,1.590990257669732,2.25,False,14.80406170888428,4.5,True,
Sphere,3,spacious,2.25,1.25,1.4142135623730951,1.9887378220871648,2.8125,1.988737822087165,2.8125000000000004,False,14.80406170888428,4.5,True,
Sphere,4,compact,2.25,0.8,1.1547005383792515,1.5588457268119897,1.8,1.7320508075688774,2.0,True,4.791316528199347,2.873259502229308,True,
Sphere,4,normal,2.25,1.0,1.1547005383792515,1.948557158514987,2.25,1.948557158514987,2.25,False,4.791316528199347,2.6699169400079716,True,
Sphere,4,spacious,2.25,1.25,1.1547005383792515,2.4356964481437338,2.8125,2.4356964481437338,2.8125,False,4.791316528199347,2.2123961750099643,True,
Sphere,5,compact,2.25,0.8,0.9999999999999999,1.8000000000000003,1.8,2.0000000000000004,2.0,True,4.517296543867925,2.5076579182703442,True,
Sphere,5,normal,2.25,1.0,0.9999999999999999,2.2500000000000004,2.25,2.2500000000000004,2.25,False,4.517296543867925,2.258615158054137,True,
Sphere,5,spacious,2.25,1.25,0.9999999999999999,2.8125000000000004,2.8125,2.8125000000000004,2.8125,False,4.517296543867925,1.6982689475676715,True,
Sphere,6,compact,2.25,0.8,0.8944271909999159,2.0124611797498106,1.8,2.23606797749979,2.0,True,4.610446478880993,2.317498599139733,True,
Sphere,6,normal,2.25,1.0,0.8944271909999159,2.5155764746872635,2.25,2.5155764746872635,2.25,False,4.610446478880993,2.0446859240321995,True,
Sphere,6,spacious,2.25,1.25,0.8944271909999159,3.1444705933590793,2.8125,3.1444705933590793,2.8125,False,4.610446478880993,1.4308574050402494,True,
Sphere,7,compact,2.25,0.8,0.8164965809277258,2.204540768504861,1.8,2.4494897427831788,2.0,True,4.791316528199347,2.1994415255911273,True,
Sphere,7,normal,2.25,1.0,0.8164965809277258,2.755675960631076,2.25,2.755675960631076,2.25,False,4.791316528199347,1.911871716290018,True,
Sphere,7,spacious,2.25,1.25,0.8164965809277258,3.444594950788845,2.8125,3.4445949507888454,2.8125,False,4.791316528199347,1.2648396453625224,True,
Sphere,8,compact,2.25,0.8,0.7559289460184545,2.3811761799581315,1.8,2.6457513110645903,2.0,True,4.999731080760279,2.118695744335873,True,
Sphere,8,normal,2.25,1.0,0.7559289460184545,2.976470224947664,2.25,2.976470224947664,2.25,False,4.999731080760279,1.8210327123778574,True,
Sphere,8,spacious,2.25,1.25,0.7559289460184545,3.7205877811845802,2.8125,3.7205877811845802,2.8125,False,4.999731080760279,1.1512908904723216,True,
Line,2,compact,2.5,0.8,1.0,2.0,2.0,2.0,2.0,False,30.0,4.5,True,
Line,2,normal,2.5,1.0,1.0,2.5,2.5,2.5,2.5,False,30.0,4.5,True,
Line,2,spacious,2.5,1.25,1.0,3.125,3.125,3.125,3.125,False,30.0,4.5,True,
