trial_id,candidate_id,scenario_id,seed,axis,event_index,zero_crossings_cross_metric_only,left_index,right_index,time_s,bracket_dt_s,target_relative_interpolated_abs_m,target_relative_bracket_near_abs_m,target_relative_bracket_max_abs_m,centered_bracket_near_abs_m,centered_bracket_max_abs_m
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC067-OO067,C0A-S-DIAG-1,41002,z,13,1,184,185,3.689519701426516,0.019983768463134766,0.001989288330078125,0.0016980171203613281,0.0028066635131835938,0.00029127120971679694,0.0008173751831054687
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC067-OO067,C0A-S-DIAG-1,41002,z,14,1,196,197,3.9380009797474345,0.019994020462036133,0.001989288330078125,0.0014460086822509766,0.0031833648681640625,0.0005432796478271485,0.0011940765380859374
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC067-OO067,C0A-S-DIAG-1,41002,z,15,1,202,203,4.048190047322695,0.02001357078552246,0.001989288330078125,0.0015168190002441406,0.003926515579223633,0.00047246932983398444,0.0019372272491455077
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC067-OO067,C0A-S-DIAG-1,41002,z,16,1,216,217,4.342465686469976,0.019995450973510742,0.001989288330078125,0.0017857551574707031,0.004030942916870117,0.00020353317260742194,0.002041654586791992
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC067-OO067,C0A-S-DIAG-1,41002,z,17,1,222,223,4.463592378786163,0.019999265670776367,0.001989288330078125,1.811981201171875e-05,0.0020585060119628906,6.921768188476556e-05,0.0019711685180664063
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC067-OO067,C0A-S-DIAG-1,41002,z,18,1,234,235,4.691251706551714,0.02002716064453125,0.001989288330078125,0.0008745193481445312,0.002584218978881836,0.0005949306488037109,0.0011147689819335938
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41002,A1-OC067-OO067,C0A-S-DIAG-1,41002,z,19,1,246,247,4.940941404194619,0.01998281478881836,0.001989288330078125,0.0013241767883300781,0.0021228790283203125,0.00013359069824218743,0.0006651115417480469
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41003,A1-OC067-OO067,C0A-S-DIAG-1,41003,x,1,1,35,36,0.7121656769239914,0.01997828483581543,0.03280499887466431,0.03094172477722168,0.03405165672302246,0.0012466578483581528,0.0018632740974426285
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41003,A1-OC067-OO067,C0A-S-DIAG-1,41003,x,2,1,115,116,2.311984705011603,0.020032882690429688,0.03280499887466431,0.03180384635925293,0.03435468673706055,0.0010011525154113785,0.0015496878623962387
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41003,A1-OC067-OO067,C0A-S-DIAG-1,41003,x,3,1,200,201,4.010261093371009,0.019984960556030273,0.03280499887466431,0.0325016975402832,0.03293657302856445,0.00013157415390014499,0.000303301334381105
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41003,A1-OC067-OO067,C0A-S-DIAG-1,41003,y,1,1,28,29,0.5714954131910789,0.01998305320739746,0.023248406887054443,0.019675254821777344,0.025328397750854492,0.002079990863800049,0.0035731520652770993
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41003,A1-OC067-OO067,C0A-S-DIAG-1,41003,y,2,1,111,112,2.2274341138685396,0.020003557205200195,0.023248406887054443,0.022829532623291016,0.025371074676513672,0.0004188742637634274,0.002122667789459229
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41003,A1-OC067-OO067,C0A-S-DIAG-1,41003,y,3,1,218,219,4.3706996271967755,0.01999044418334961,0.023248406887054443,0.02250957489013672,0.0236051082611084,0.0003567013740539554,0.0007388319969177243
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41003,A1-OC067-OO067,C0A-S-DIAG-1,41003,z,1,1,36,37,0.7412065961144187,0.019985437393188477,0.0019092159271240235,0.0008070468902587891,0.0020973682403564453,0.0001881523132324218,0.0011021690368652345
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41003,A1-OC067-OO067,C0A-S-DIAG-1,41003,z,2,1,48,49,0.9754914103992073,0.019992351531982422,0.0019092159271240235,0.0011494159698486328,0.002907991409301758,0.0007597999572753907,0.0009987754821777343
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41003,A1-OC067-OO067,C0A-S-DIAG-1,41003,z,3,1,50,51,1.017326406564684,0.019930601119995117,0.0019092159271240235,0.00014257431030273438,0.002973794937133789,0.0010645790100097655,0.002051790237426758
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41003,A1-OC067-OO067,C0A-S-DIAG-1,41003,z,4,1,69,70,1.3919720916458844,0.0199282169342041,0.0019092159271240235,0.0005064010620117188,0.002802133560180664,0.0008929176330566405,0.0014028148651123048
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41003,A1-OC067-OO067,C0A-S-DIAG-1,41003,z,5,1,70,71,1.418554251538668,0.019997119903564453,0.0019092159271240235,0.0005064010620117188,0.0024538040161132812,0.0005445880889892577,0.0014028148651123048
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41003,A1-OC067-OO067,C0A-S-DIAG-1,41003,z,6,1,129,130,2.5996281666255268,0.019974946975708008,0.0019092159271240235,0.0013480186462402344,0.0038220882415771484,0.0005611972808837891,0.001912872314453125
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41003,A1-OC067-OO067,C0A-S-DIAG-1,41003,z,7,1,130,131,2.6077634951111803,0.019977092742919922,0.0019092159271240235,0.0013480186462402344,0.004458427429199219,0.0005611972808837891,0.0025492115020751952
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41003,A1-OC067-OO067,C0A-S-DIAG-1,41003,z,8,1,149,150,3.003418366624839,0.02003645896911621,0.0019092159271240235,0.001836538314819336,0.0036423206329345703,7.267761230468758e-05,0.0017331047058105468
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41003,A1-OC067-OO067,C0A-S-DIAG-1,41003,z,9,1,150,151,3.0047884416197173,0.019935131072998047,0.0019092159271240235,0.001836538314819336,0.004406929016113281,7.267761230468758e-05,0.0024977130889892577
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41003,A1-OC067-OO067,C0A-S-DIAG-1,41003,z,10,1,166,167,3.3375649726584573,0.0200192928314209,0.0019092159271240235,0.0014295578002929688,0.0028848648071289062,0.00047965812683105477,0.0009756488800048827
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41003,A1-OC067-OO067,C0A-S-DIAG-1,41003,z,11,1,172,173,3.458501022388071,0.01999974250793457,0.0019092159271240235,2.6702880859375e-05,0.0026514530181884766,0.000742237091064453,0.0018825130462646485
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41003,A1-OC067-OO067,C0A-S-DIAG-1,41003,z,12,1,189,190,3.786560214649547,0.02002716064453125,0.0019092159271240235,0.0003058910369873047,0.0022118091583251953,0.0003025932312011718,0.002215106964111328
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41003,A1-OC067-OO067,C0A-S-DIAG-1,41003,z,13,1,190,191,3.8184723541523367,0.019968509674072266,0.0019092159271240235,0.0003058910369873047,0.002789020538330078,0.0008798046112060546,0.002215106964111328
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41003,A1-OC067-OO067,C0A-S-DIAG-1,41003,z,14,1,206,207,4.125645865668174,0.020010709762573242,0.0019092159271240235,0.0005574226379394531,0.002104520797729492,0.00019530487060546867,0.0024666385650634766
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41003,A1-OC067-OO067,C0A-S-DIAG-1,41003,z,15,1,216,217,4.331561877833266,0.020013809204101562,0.0019092159271240235,0.0016374588012695312,0.00237274169921875,0.00027175712585449227,0.0004635257720947265
C0A-v2-A1-SCREENING-A1-OC067-OO067-C0A-S-DIAG-1-POS-X2-Y2-Z1-D125-S41003,A1-OC067-OO067,C0A-S-DIAG-1,41003,z,16,1,222,223,4.4639283483553776,0.020003318786621094,0.0019092159271240235,0.0019030570983886719,0.0023996829986572266,6.158828735351642e-06,0.000490467071533203
