trial_id,scenario,scenario_seed,num_uav,method,assignment,total_path_length,avg_path_length,xy_crossings,proximity_crossings,min_distance,safety_cost,safety_violation_count,critical_violation_count,arrival_time_variance,failed_assignment,critical_failed_assignment,total_cost,compute_time_ms
55,large,2082129811,8,random,"[3,2,4,7,6,5,0,1]",70.569852,8.821231,13,9,0.057960,31.933619,173,106,7.091421,1,1,322.503471,0.009368
55,large,2082129811,8,nearest_neighbor,"[6,7,3,4,1,2,5,0]",25.366669,3.170834,0,1,1.246610,0.801533,27,14,11.646598,1,1,36.168201,0.070732
55,large,2082129811,8,hungarian_distance,"[6,7,3,4,1,0,5,2]",22.442228,2.805278,0,0,2.214182,0.000000,0,0,5.387744,0,0,22.442228,0.013515
55,large,2082129811,8,hungarian_crossing_penalty,"[6,7,3,4,1,0,5,2]",22.442228,2.805278,0,0,2.214182,0.000000,0,0,5.387744,0,0,22.442228,27.466702
55,large,2082129811,8,safety_aware_local_swap,"[6,7,3,4,1,0,5,2]",22.442228,2.805278,0,0,2.214182,0.000000,0,0,5.387744,0,0,22.442228,27.483093
56,large,496211705,8,random,"[4,1,5,6,7,0,3,2]",42.089120,5.261140,2,2,0.690995,1.968998,74,41,5.329317,1,1,84.058118,0.004569
56,large,496211705,8,nearest_neighbor,"[3,2,4,5,7,0,1,6]",39.142241,4.892780,1,3,1.561461,1.728543,59,0,5.166585,1,0,80.870785,0.066315
56,large,496211705,8,hungarian_distance,"[2,1,3,5,6,7,4,0]",30.069670,3.758709,0,0,2.353062,0.000000,0,0,2.694601,0,0,30.069670,0.014317
56,large,496211705,8,hungarian_crossing_penalty,"[2,1,3,5,6,7,4,0]",30.069670,3.758709,0,0,2.353062,0.000000,0,0,2.694601,0,0,30.069670,27.452475
56,large,496211705,8,safety_aware_local_swap,"[2,1,3,5,6,7,4,0]",30.069670,3.758709,0,0,2.353062,0.000000,0,0,2.694601,0,0,30.069670,27.506176
57,large,1644133252,8,random,"[3,4,6,1,7,5,2,0]",58.040532,7.255067,4,6,0.036698,65.851161,169,116,9.937552,1,1,223.891693,0.004809
57,large,1644133252,8,nearest_neighbor,"[2,1,0,7,4,5,3,6]",29.857124,3.732141,1,2,1.138972,1.379210,64,32,3.859290,1,1,61.236335,0.073759
