scenario_id,seed,metric,smooth,normal,aggressive,normal_minus_smooth,aggressive_minus_normal,aggressive_minus_smooth
E4A-DIAGONAL-3D,54103,acceleration_rise_time,0.6702012419700623,0.6852516531944275,0.7219059467315674,0.015050411224365234,0.03665429353713989,0.05170470476150513
E4A-DIAGONAL-3D,54104,acceleration_rise_time,0.753946840763092,0.7819154262542725,0.6500563025474548,0.02796858549118042,-0.13185912370681763,-0.10389053821563721
E4A-DIAGONAL-3D,54105,acceleration_rise_time,0.6922821998596191,0.7413623332977295,0.7487912774085999,0.04908013343811035,0.007428944110870361,0.05650907754898071
E4A-HORIZONTAL,54101,acceleration_rise_time,0.7869864702224731,0.8490621447563171,0.8081556558609009,0.062075674533843994,-0.04090648889541626,0.021169185638427734
E4A-HORIZONTAL,54102,acceleration_rise_time,0.7348876595497131,0.8353695869445801,0.750356912612915,0.10048192739486694,-0.08501267433166504,0.015469253063201904
E4A-HORIZONTAL,54103,acceleration_rise_time,0.8098443746566772,0.842526376247406,0.795725405216217,0.03268200159072876,-0.046800971031188965,-0.014118969440460205
E4A-HORIZONTAL,54104,acceleration_rise_time,1.5269383788108826,1.4424068927764893,0.8634511232376099,-0.08453148603439331,-0.5789557695388794,-0.6634872555732727
E4A-HORIZONTAL,54105,acceleration_rise_time,0.7616881132125854,0.8255399465560913,0.8117648959159851,0.06385183334350586,-0.013775050640106201,0.05007678270339966
E4A-VERTICAL,54101,acceleration_rise_time,0.3411720395088196,0.5388514399528503,0.46316707134246826,0.19767940044403076,-0.07568436861038208,0.12199503183364868
E4A-VERTICAL,54102,acceleration_rise_time,0.29240697622299194,0.3618415594100952,0.4738728404045105,0.06943458318710327,0.11203128099441528,0.18146586418151855
E4A-VERTICAL,54103,acceleration_rise_time,0.37196123600006104,0.29345375299453735,0.26910239458084106,-0.07850748300552368,-0.02435135841369629,-0.10285884141921997
E4A-VERTICAL,54104,acceleration_rise_time,0.2756877541542053,0.5969622731208801,0.27316927909851074,0.3212745189666748,-0.3237929940223694,-0.00251847505569458
E4A-VERTICAL,54105,acceleration_rise_time,0.3891468048095703,0.26812559366226196,0.8628816604614258,-0.12102121114730835,0.5947560667991638,0.47373485565185547
